RecNum,EQID,EQName,Year,MoDay,StationName,StaSeqNum,StaID,M,Dip,Rake,Ztor,W,Rjb,Rrup,Azimuth,Vs30,VsFlag,Z1.0,Z1.5,Z2.5,PGA,PGV,PGD,T0.010S,T0.020S,T0.030S,T0.040S,T0.050S,T0.075S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.750S,T1.000S,T1.500S,T2.000S,T3.000S,T4.000S,T5.000S,T7.500S,T10.000S
57,30,San Fernando,1971,209,Castaic - Old Ridge Route,323,24278,6.61,50,83,0,27.40625,19.33,22.63,34.4,450.28,1,147,317,1520,0.299352,19.8277,3.29071,0.304234,0.30037,0.308106,0.32807,0.347248,0.359022,0.524694,0.690035,0.648466,0.556126,0.562364,0.574739,0.582551,0.295361,0.225288,0.09752741,0.04708624,0.01651194,0.007830964,0.005732545,0.002667637,0.00133996
58,30,San Fernando,1971,209,Cedar Springs Pumphouse,73,112,6.61,50,83,0,27.40625,92.25,92.59,163.6,477.22,1,NA,NA,NA,0.02716151,2.47538,0.338619,0.02717704,0.02733652,0.02748906,0.02835457,0.02983902,0.03214788,0.04703097,0.08160929,0.0557291,0.07943907,0.09724232,0.08976156,0.04912183,0.03174701,0.02145217,0.008727633,0.007488193,0.002987887,0.001632127,0.001166286,0.000371325,0.000152071
59,30,San Fernando,1971,209,"Cedar Springs, Allen Ranch",72,111,6.61,50,83,0,27.40625,89.37,89.72,165.83,813.48,1,14,14,NA,0.01772234,1.48142,0.550951,0.01807792,0.01792812,0.01998048,0.02146757,0.02381237,0.02918262,0.03997065,0.04740087,0.0427311,0.03566048,0.03283022,0.0266161,0.02910634,0.01761692,0.01879666,0.009518296,0.005868211,0.004388323,0.003338921,0.001375123,0.000636578,0.000258684
62,30,San Fernando,1971,209,Colton - So Cal Edison,74,113,6.61,50,83,0,27.40625,96.81,96.81,-179.64,301.95,1,314,740,1040,0.03771243,2.21665,0.294287,0.0377694,0.03797305,0.03849447,0.03915846,0.03953329,0.04616361,0.05901366,0.09486853,0.08455628,0.105644,0.149807,0.07050163,0.06264756,0.02873406,0.0187252,0.009785019,0.005623633,0.003721797,0.001165132,0.000652572,0.000245954,0.000129493
64,30,San Fernando,1971,209,Fort Tejon,122,998,6.61,50,83,0,27.40625,59.52,61.64,35.1,394.18,1,NA,NA,NA,0.02398793,1.1398,0.311675,0.02408078,0.02453271,0.02609716,0.02566227,0.0278563,0.04635864,0.06325413,0.07022364,0.07942319,0.05096512,0.05564682,0.03904578,0.01668344,0.009067505,0.008695744,0.005199182,0.005333192,0.003486462,0.001852727,0.001012104,0.000315017,0.000152769
65,30,San Fernando,1971,209,Gormon - Oso Pump Plant,121,994,6.61,50,83,0,27.40625,43.95,46.78,45.96,308.35,1,NA,NA,NA,0.08735627,6.44922,1.45929,0.0876577,0.09057836,0.09651515,0.106558,0.111317,0.113466,0.142712,0.212579,0.254628,0.232338,0.19829,0.145106,0.112738,0.07074668,0.06631868,0.05670492,0.03758739,0.01584388,0.00573294,0.003107517,0.001173199,0.000620845
66,30,San Fernando,1971,209,Hemet Fire Station,272,12331,6.61,50,83,0,27.40625,139.14,139.14,-168.54,338.539,0,NA,NA,NA,0.03639739,2.08319,0.371412,0.03719027,0.03737026,0.03938303,0.0426113,0.0438044,0.05933158,0.07712018,0.08488727,0.105009,0.09022233,0.08571726,0.08307099,0.06139091,0.03513719,0.02726395,0.01200463,0.006423752,0.003620718,0.002043422,0.001781827,0.000423432,0.000184226
67,30,San Fernando,1971,209,Isabella Dam (Aux Abut),137,1035,6.61,50,83,0,27.40625,130,130.98,70.85,684.935,0,NA,NA,NA,0.008020631,1.43804,1.73533,0.008029998,0.008070725,0.008153309,0.008239235,0.008364128,0.008769108,0.01137481,0.01908135,0.02467217,0.02724556,0.0230123,0.01476543,0.01473055,0.009160661,0.01324382,0.008810087,0.006297218,0.003938397,0.003694896,0.002972473,0.00222834,0.001848734
68,30,San Fernando,1971,209,LA - Hollywood Stor FF,326,24303,6.61,50,83,0,27.40625,22.77,22.77,-101.66,316.46,1,320,600,2169,0.210082,18.146,9.13267,0.214455,0.216066,0.237052,0.231474,0.285466,0.413942,0.631221,0.549128,0.558779,0.542964,0.461391,0.372751,0.289271,0.214163,0.180823,0.147811,0.08388969,0.0633081,0.05958875,0.04204872,0.01282361,0.005223692
70,30,San Fernando,1971,209,Lake Hughes #1,320,24271,6.61,50,83,0,27.40625,22.22,27.4,81.01,425.34,1,0,0,0,0.12643,15.6817,2.33312,0.127107,0.126698,0.131225,0.129131,0.134204,0.206856,0.177175,0.249563,0.182778,0.231677,0.241814,0.206585,0.256852,0.286823,0.29961,0.10663,0.04095085,0.01655809,0.009067887,0.005750299,0.002212952,0.001125689
71,30,San Fernando,1971,209,Lake Hughes #12,80,128,6.61,50,83,0,27.40625,13.99,19.3,53.18,602.1,1,17.5,NA,NA,0.329706,15.5341,2.4197,0.337749,0.338595,0.363936,0.404766,0.424219,0.641206,0.60748,0.976032,1.18423,1.11165,0.779628,0.345903,0.202121,0.107439,0.101264,0.04656386,0.02661426,0.01013723,0.005992864,0.004246314,0.001901753,0.00113546
72,30,San Fernando,1971,209,Lake Hughes #4,77,126,6.61,50,83,0,27.40625,19.45,25.07,73.29,821.68948,0,0,0,0,0.163106,7.31863,1.39082,0.165805,0.164488,0.176949,0.220043,0.256447,0.375141,0.417034,0.482991,0.470606,0.238569,0.241345,0.199908,0.156851,0.09761877,0.08856815,0.04237334,0.02017014,0.007675934,0.005038098,0.002707795,0.001316133,0.000665207
73,30,San Fernando,1971,209,Lake Hughes #9,79,127,6.61,50,83,0,27.40625,17.22,22.57,56.42,670.84,1,8.3,28.5,320,0.139464,4.57957,1.09635,0.143794,0.145148,0.184375,0.283036,0.3634,0.341935,0.376878,0.336679,0.228439,0.173424,0.185958,0.172242,0.07426482,0.05315572,0.03844117,0.02271585,0.01672276,0.006420196,0.00445197,0.002272197,0.001104205,0.000559302
74,30,San Fernando,1971,209,Maricopa Array #1,138,1041,6.61,50,83,0,27.40625,193.25,193.91,43.52,271.441,0,NA,NA,NA,0.009003266,1.87329,1.86041,0.009014095,0.009075562,0.00926147,0.009297571,0.01026148,0.0103878,0.01166056,0.01548992,0.0227448,0.02090214,0.02845872,0.01869654,0.02326095,0.01662005,0.01548366,0.01087648,0.009232622,0.004283964,0.004272725,0.004578359,0.002817271,0.001669327
75,30,San Fernando,1971,209,Maricopa Array #2,139,1042,6.61,50,83,0,27.40625,108.56,109.74,20.33,438.339,0,NA,NA,NA,0.009312752,1.25322,0.759905,0.009322008,0.009381946,0.009501819,0.009869112,0.01011261,0.01260976,0.01445689,0.02012539,0.02391309,0.02626283,0.03294258,0.02205467,0.01869606,0.01350403,0.0110332,0.007933561,0.006007094,0.004882916,0.00329076,0.00408256,0.001627241,0.000608199
76,30,San Fernando,1971,209,Maricopa Array #3,140,1043,6.61,50,83,0,27.40625,109.01,110.18,22.82,438.339,0,NA,NA,NA,0.008675701,1.72525,1.74235,0.008688644,0.008790551,0.008920949,0.01007242,0.01123648,0.01333045,0.01538667,0.01922173,0.01815587,0.01834933,0.01973028,0.01867185,0.01820091,0.01372649,0.01034365,0.007598422,0.009158296,0.005790724,0.004307278,0.002744897,0.00309021,0.002202518
78,30,San Fernando,1971,209,Palmdale Fire Station,82,262,6.61,50,83,0,27.40625,24.16,28.99,107.99,452.86,1,NA,NA,NA,0.129983,9.78538,2.40859,0.132309,0.130025,0.138376,0.142642,0.15019,0.244518,0.388946,0.362428,0.293351,0.352241,0.329548,0.191801,0.210245,0.147779,0.121785,0.138611,0.08334661,0.01848121,0.009608847,0.005403485,0.002425113,0.00115974
81,30,San Fernando,1971,209,Pearblossom Pump,84,269,6.61,50,83,0,27.40625,35.54,38.97,134.29,529.09,1,NA,NA,NA,0.138697,4.58948,1.35565,0.140522,0.14113,0.152555,0.178476,0.173303,0.280289,0.301288,0.456918,0.248147,0.211143,0.144459,0.167865,0.126104,0.05277952,0.03864805,0.02603228,0.01636615,0.0111981,0.007206402,0.004138029,0.002412895,0.001230531
82,30,San Fernando,1971,209,Port Hueneme,85,272,6.61,50,83,0,27.40625,68.84,68.84,-32.3,297.917,0,900,1897,2406.25,0.02796274,5.85898,3.22311,0.02810304,0.02796924,0.0285903,0.03002687,0.02942676,0.02977398,0.0388105,0.05085765,0.05584627,0.07313684,0.103092,0.06625094,0.04701776,0.0599972,0.06599258,0.03870185,0.04719267,0.0301204,0.02149928,0.01240347,0.005819757,0.002319488
85,30,San Fernando,1971,209,San Juan Capistrano,104,465,6.61,50,83,0,27.40625,108.01,108.01,-139.2,338.539,0,NA,NA,NA,0.03885114,3.40128,0.964807,0.03920449,0.0390229,0.04206808,0.04185353,0.039788,0.04403925,0.06786988,0.07937334,0.10675,0.08367119,0.09850504,0.08070488,0.09427606,0.06088056,0.06441304,0.02917183,0.01528665,0.00617065,0.00474494,0.003218613,0.001381741,0.000609213
86,30,San Fernando,1971,209,San Onofre - So Cal Edison,90,280,6.61,50,83,0,27.40625,124.79,124.79,-139.75,442.88,1,NA,NA,NA,0.01464435,1.80273,0.81088,0.01466301,0.01475098,0.01493234,0.01569443,0.01612826,0.02038464,0.02175516,0.03435406,0.03440606,0.0305307,0.04254096,0.03759882,0.03563708,0.02661272,0.02189775,0.01488289,0.01401393,0.006225787,0.002649891,0.002854893,0.001510875,0.000523087
88,30,San Fernando,1971,209,Santa Felita Dam (Outlet),93,285,6.61,50,83,0,27.40625,24.69,24.87,-3.08,389,1,NA,NA,NA,0.156181,8.13711,5.01205,0.157702,0.161357,0.167564,0.184226,0.204232,0.290235,0.624462,0.411916,0.263037,0.163131,0.175879,0.163825,0.141891,0.09939659,0.120359,0.04518003,0.03333507,0.03092805,0.03381422,0.02248185,0.008335371,0.003749736
89,30,San Fernando,1971,209,Tehachapi Pump,134,1027,6.61,50,83,0,27.40625,61.75,63.79,43.6,669.48,1,NA,NA,NA,0.03908655,1.50922,0.264923,0.03994568,0.03961518,0.04540219,0.05968847,0.05919177,0.09560797,0.117877,0.08169452,0.09958853,0.05157209,0.06107891,0.04201503,0.03243618,0.01111063,0.0068679,0.004944836,0.00498771,0.003062425,0.001708916,0.000855449,0.000256011,0.000128267
91,30,San Fernando,1971,209,Upland - San Antonio Dam,95,287,6.61,50,83,0,27.40625,61.72,61.73,179.31,445.98306,0,NA,NA,NA,0.06813086,3.37946,0.474308,0.06939412,0.06887553,0.07040111,0.07047842,0.07590795,0.103796,0.158902,0.139144,0.224711,0.239006,0.193195,0.1932,0.113968,0.044257,0.02672481,0.01523071,0.006378114,0.003505636,0.001901536,0.001309266,0.000627031,0.000349697
92,30,San Fernando,1971,209,Wheeler Ridge - Ground,149,1102,6.61,50,83,0,27.40625,68.38,70.23,49.08,347.67,1,NA,NA,NA,0.0287319,1.55616,1.21995,0.02877822,0.02942318,0.03130542,0.03286586,0.03862659,0.06611675,0.08522648,0.06210251,0.07248105,0.06456961,0.07616021,0.03199267,0.02037247,0.01790787,0.01805813,0.01259189,0.007184151,0.005548587,0.004290367,0.003532791,0.001755554,0.001246319
93,30,San Fernando,1971,209,Whittier Narrows Dam,96,289,6.61,50,83,0,27.40625,39.45,39.45,-144.43,298.68,1,595,1476,2966,0.115485,9.49831,5.14437,0.11582,0.116701,0.117346,0.1227,0.123009,0.14521,0.258858,0.309754,0.349041,0.273044,0.219152,0.200232,0.137807,0.09957081,0.05863202,0.05140194,0.03803781,0.03124996,0.03370447,0.02391002,0.007959047,0.003518718
94,30,San Fernando,1971,209,Wrightwood - 6074 Park Dr,99,290,6.61,50,83,0,27.40625,61.64,62.23,158.22,486,1,NA,NA,NA,0.05204517,2.9372,0.564124,0.05206545,0.05247222,0.05326226,0.05961747,0.06028333,0.07386698,0.09354448,0.100069,0.15199,0.132249,0.159294,0.104752,0.09495391,0.03566568,0.03333513,0.01634957,0.008342752,0.004252512,0.003357823,0.001529162,0.000827351,0.000326557
95,31,"Managua, Nicaragua-01",1972,1223,"Managua, ESSO",199,3501,6.24,80,0,2,6,3.51,4.06,-99.26,288.77,1,NA,NA,NA,0.394071,25.3549,6.39277,0.401114,0.398615,0.406232,0.41938,0.452452,0.575574,0.740544,0.924969,1.01961,1.06574,1.10525,0.89755,0.865189,0.400109,0.337878,0.152166,0.147297,0.05491211,0.03366645,0.02125513,0.005528986,0.002968069
126,41,"Gazli, USSR",1976,517,Karakyr,260,9201,6.8,58,90,3.8,17.00444,3.92,5.46,-90,659.6,0,NA,NA,NA,0.643787,61.4976,20.803,0.649713,0.688164,0.993003,1.11125,1.47019,1.83259,1.54083,1.43473,1.27787,1.11249,1.33035,1.21793,1.13707,0.950738,0.577053,0.404826,0.291115,0.158524,0.136965,0.09118295,0.0257274,0.01109413
137,46,"Tabas, Iran",1978,916,Bajestan,56,69,7.35,25,110,1,34.99556,119.77,120.81,84.17,338.6,0,NA,NA,NA,0.07496605,7.46492,10.2189,0.07604311,0.07671133,0.07494341,0.07535566,0.07875239,0.09151731,0.08989761,0.136611,0.247363,0.29743,0.202024,0.111395,0.07840002,0.04215586,0.02877415,0.0183823,0.01883424,0.01286879,0.01233553,0.01377301,0.009859606,0.008956265
138,46,"Tabas, Iran",1978,916,Boshrooyeh,57,70,7.35,25,110,1,34.99556,24.07,28.79,90,338.6,0,NA,NA,NA,0.108943,19.6135,14.8288,0.109693,0.110331,0.110291,0.111495,0.115154,0.132167,0.171668,0.24929,0.22048,0.266337,0.21077,0.269947,0.271805,0.159681,0.149655,0.129247,0.09375364,0.0524598,0.04662175,0.03732674,0.0174635,0.008956698
139,46,"Tabas, Iran",1978,916,Dayhook,259,9102,7.35,25,110,1,34.99556,0,13.94,90,659.6,0,NA,NA,NA,0.350506,28.241,9.02987,0.356666,0.358247,0.386042,0.358246,0.418841,0.490764,0.724195,0.888964,1.02796,0.658619,0.629584,0.811715,0.632958,0.465195,0.270901,0.18431,0.122267,0.07508507,0.04650701,0.02481411,0.01553254,0.009887227
140,46,"Tabas, Iran",1978,916,Ferdows,58,71,7.35,25,110,1,34.99556,89.76,91.14,90,274.5,0,NA,NA,NA,0.108422,7.08486,7.18327,0.110189,0.110882,0.117466,0.115232,0.11969,0.150663,0.200203,0.254228,0.264355,0.279962,0.227099,0.167669,0.1611,0.126449,0.04271564,0.02290246,0.01760185,0.01577018,0.01720061,0.01294238,0.008137507,0.006983036
141,46,"Tabas, Iran",1978,916,Kashmar,59,72,7.35,25,110,1,34.99556,193.91,194.55,70.93,274.5,0,NA,NA,NA,0.03596753,10.9083,9.28676,0.03615548,0.03627164,0.03837271,0.03763942,0.04024942,0.04577997,0.04568903,0.06215548,0.06842021,0.07809524,0.08380166,0.08621519,0.08502942,0.104527,0.08390349,0.07121687,0.0655798,0.03767486,0.02106136,0.02305134,0.01121521,0.007581742
142,46,"Tabas, Iran",1978,916,Sedeh,60,73,7.35,25,110,1,34.99556,150.33,151.16,108.31,424.8,0,NA,NA,NA,0.02699869,4.61695,5.65661,0.02731949,0.02749255,0.0273878,0.02815562,0.02895057,0.03239481,0.0372812,0.06629109,0.0662291,0.05068371,0.03847907,0.04203925,0.05230777,0.05206101,0.05310134,0.02224115,0.01521476,0.01629278,0.01251451,0.0110137,0.006358207,0.005197682
143,46,"Tabas, Iran",1978,916,Tabas,258,9101,7.35,25,110,1,34.99556,1.79,2.05,-90,766.77,1,21,21,NA,0.812848,98.202,62.149,0.821594,0.827379,0.883321,0.863934,0.875079,1.36269,1.76192,2.6422,2.9412,3.30726,1.69795,1.52227,1.55654,1.75596,0.703057,0.471596,0.508905,0.293078,0.243594,0.215846,0.106245,0.04944049
147,48,Coyote Lake,1979,806,Gilroy Array #2,425,47380,5.74,80,176,3.1,7,8.47,9.02,-103.31,270.84,1,330,550,1620,0.293562,20.2223,4.16039,0.294268,0.309397,0.3045,0.340256,0.380569,0.498709,0.548153,0.755586,0.783161,0.606163,0.616961,0.522223,0.303828,0.273196,0.227631,0.155104,0.08096608,0.02713312,0.01309935,0.007880243,0.003216994,0.001751681
148,48,Coyote Lake,1979,806,Gilroy Array #3,426,47381,5.74,80,176,3.1,7,6.75,7.42,-108.72,349.85,1,330,550,1620,0.263327,22.6924,3.90516,0.263618,0.270603,0.291751,0.326746,0.344059,0.431364,0.593687,0.83048,0.495528,0.452471,0.607054,0.411368,0.301203,0.349695,0.359771,0.136857,0.08881339,0.04013484,0.01633362,0.007836683,0.003064779,0.001654903
149,48,Coyote Lake,1979,806,Gilroy Array #4,450,57382,5.74,80,176,3.1,7,4.79,5.7,-105.13,221.78,1,330,550,1880,0.269965,23.9452,3.8247,0.270011,0.27037,0.272153,0.272671,0.287533,0.304186,0.365568,0.450928,0.481,0.546406,0.780161,0.671534,0.524048,0.414108,0.351917,0.128375,0.07381008,0.03028608,0.01668674,0.008657263,0.00318395,0.001628792
150,48,Coyote Lake,1979,806,Gilroy Array #6,451,57383,5.74,80,176,3.1,7,0.42,3.11,-101.34,663.31,1,540,900,1630,0.403784,37.6747,6.1533,0.4047,0.405668,0.410406,0.414303,0.411984,0.491103,0.51664,0.529722,0.750275,0.889873,0.943529,0.870788,0.611593,0.548246,0.404239,0.192881,0.101376,0.04001407,0.01962162,0.01165842,0.004822642,0.002623082
151,48,Coyote Lake,1979,806,Halls Valley,448,57191,5.74,80,176,3.1,7,33.69,33.83,-8.32,281.61,1,330,550,1680,0.0415765,3.12264,0.365489,0.04162612,0.0417702,0.04203943,0.04241786,0.04287683,0.04885688,0.05137938,0.06742111,0.109268,0.110555,0.111572,0.119325,0.05995558,0.04708014,0.04202824,0.01576031,0.007101426,0.00338855,0.001286742,0.000697511,0.000272196,0.00015116
154,48,Coyote Lake,1979,806,"San Juan Bautista, 24 Polk St",418,47126,5.74,80,176,3.1,7,19.46,19.7,-140.12,370.789,0,410,680,1960,0.101118,7.03543,1.02929,0.101154,0.101544,0.102163,0.103372,0.10299,0.118448,0.163812,0.171566,0.268168,0.270848,0.238981,0.243371,0.224788,0.146006,0.08950254,0.04278997,0.02653916,0.01333979,0.007718085,0.003075316,0.001044223,0.000461686
158,50,Imperial Valley-06,1979,1015,Aeropuerto Mexicali,243,6616,6.53,80,180,0,12.998,0,0.34,90,274.5,0,900,1880,3920,0.343792,30.3942,7.62197,0.348054,0.367576,0.420444,0.452076,0.51707,0.537265,0.851717,0.677857,0.551363,0.692732,0.763183,0.600138,0.482696,0.375724,0.323945,0.301271,0.159141,0.08109245,0.03469334,0.0182601,0.006710533,0.00338995
159,50,Imperial Valley-06,1979,1015,Agrarias,245,6618,6.53,80,180,0,12.998,0,0.65,90,274.5,0,900,1880,3920,0.290293,33.8543,9.46992,0.294651,0.323411,0.769088,0.69861,0.481221,0.552962,0.571197,0.370387,0.291516,0.385233,0.387452,0.401653,0.548426,0.456334,0.280011,0.273742,0.212939,0.07171847,0.0413134,0.02581811,0.009442433,0.004816074
160,50,Imperial Valley-06,1979,1015,Bonds Corner,210,5054,6.53,80,180,0,12.998,0.47,2.68,90,223.03,1,900,1880,3920,0.686069,53.8625,12.6882,0.68904,0.703453,0.748761,0.855451,0.949084,0.971488,1.12268,1.49763,1.867,1.57571,1.63208,1.64442,1.48438,0.868978,0.408696,0.233325,0.187296,0.08277232,0.04184867,0.03730397,0.01767498,0.008057781
161,50,Imperial Valley-06,1979,1015,Brawley Airport,216,5060,6.53,80,180,0,12.998,8.54,10.42,65.97,208.71,1,920,1800,3560,0.193302,39.8636,16.0174,0.193402,0.194152,0.209502,0.228766,0.257167,0.319488,0.313351,0.391476,0.446306,0.510776,0.568958,0.339318,0.321549,0.259869,0.254251,0.198176,0.152358,0.122933,0.07656258,0.0665718,0.02215624,0.01241175
162,50,Imperial Valley-06,1979,1015,Calexico Fire Station,209,5053,6.53,80,180,0,12.998,10.45,10.45,-90,231.23,1,900,1880,3920,0.232946,18.5214,9.19672,0.233276,0.234681,0.238136,0.253532,0.260215,0.358522,0.545215,0.519465,0.556197,0.584578,0.559389,0.472282,0.509889,0.257355,0.164628,0.133146,0.06964411,0.05014152,0.03730143,0.02626765,0.01914058,0.008094744
163,50,Imperial Valley-06,1979,1015,Calipatria Fire Station,217,5061,6.53,80,180,0,12.998,23.17,24.6,48.31,205.78,1,1200,1960,3400,0.103298,13.2813,9.37488,0.103666,0.105601,0.111103,0.10617,0.108892,0.140402,0.15304,0.188209,0.284068,0.270723,0.28822,0.177802,0.12699,0.111364,0.09480985,0.06630428,0.04652486,0.04719738,0.0319813,0.03929732,0.01443675,0.007902903
164,50,Imperial Valley-06,1979,1015,Cerro Prieto,240,6604,6.53,80,180,0,12.998,15.19,15.19,-123.04,659.6,0,900,1880,3920,0.176041,14.0431,5.84237,0.17786,0.177336,0.178994,0.204834,0.209279,0.367073,0.463624,0.461316,0.475055,0.470978,0.49928,0.462194,0.367474,0.303079,0.185213,0.11983,0.08082294,0.05243574,0.026238,0.02129426,0.01078092,0.003626834
165,50,Imperial Valley-06,1979,1015,Chihuahua,247,6621,6.53,80,180,0,12.998,7.29,7.29,-147.24,274.5,0,900,1880,3920,0.270319,29.2709,10.6416,0.27311,0.271617,0.28085,0.276605,0.282652,0.374445,0.418923,0.423648,0.465466,0.650534,0.528741,0.516364,0.537983,0.655371,0.38351,0.202202,0.123899,0.06695792,0.0495775,0.03413871,0.0100214,0.005755966
166,50,Imperial Valley-06,1979,1015,Coachella Canal #4,219,5066,6.53,80,180,0,12.998,49.1,50.1,34.77,345.419,0,NA,NA,NA,0.122036,12.636,2.32809,0.12205,0.122614,0.122832,0.122533,0.125157,0.12666,0.131324,0.130314,0.197339,0.212565,0.272475,0.279582,0.360161,0.232905,0.101587,0.07640262,0.04531894,0.01815077,0.008609464,0.004857279,0.001955076,0.00119048
167,50,Imperial Valley-06,1979,1015,Compuertas,248,6622,6.53,80,180,0,12.998,13.52,15.3,117.12,274.5,0,900,1880,3920,0.159698,11.5119,2.71295,0.163865,0.161277,0.166521,0.172766,0.187995,0.31923,0.385682,0.31553,0.353965,0.404734,0.369711,0.298872,0.234404,0.136148,0.07178514,0.05448221,0.03737319,0.0193455,0.02152435,0.01077763,0.003459442,0.001669175
169,50,Imperial Valley-06,1979,1015,Delta,241,6605,6.53,80,180,0,12.998,22.03,22.03,-155.53,274.5,0,900,1880,3920,0.284874,29.7543,16.6723,0.289544,0.285599,0.299458,0.32923,0.362701,0.467875,0.731348,0.832744,0.56418,0.577714,0.664346,0.657636,0.628273,0.499869,0.344131,0.285883,0.202333,0.120309,0.06724019,0.07558981,0.02479805,0.0211087
170,50,Imperial Valley-06,1979,1015,EC County Center FF,151,1136,6.53,80,180,0,12.998,7.31,7.31,-90,192.05,1,960,1720,3200,0.21645,50.9832,28.0424,0.216788,0.218454,0.220916,0.234081,0.235615,0.300856,0.387162,0.417327,0.532841,0.444317,0.408411,0.380304,0.608171,0.422815,0.390608,0.366,0.207196,0.163396,0.117398,0.08683475,0.04159871,0.01577113
