RecNum,EQID,EQName,Year,MoDay,StationName,StaSeqNum,StaID,M,Dip,Rake,Ztor,W,Rjb,Rrup,Azimuth,Vs30,VsFlag,Z1.0,Z1.5,Z2.5,PGA,PGV,PGD,T0.010S,T0.020S,T0.030S,T0.040S,T0.050S,T0.075S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.750S,T1.000S,T1.500S,T2.000S,T3.000S,T4.000S,T5.000S,T7.500S,T10.000S
12,12,Kern County,1952,721,LA - Hollywood Stor FF,326,24303,7.36,75,61,0,16.97991,114.62,117.75,93.36,316.46,1,320,600,2169,0.05373757,7.58592,3.57224,0.05379044,0.05401752,0.05453411,0.05602752,0.05718011,0.06288727,0.06634279,0.09634005,0.119245,0.132843,0.135557,0.132666,0.142378,0.1088,0.115335,0.07777897,0.03609271,0.0356445,0.02613593,0.01294,0.003535268,0.001857925
28,25,Parkfield,1966,628,Cholame - Shandon Array #12,131,1016,6.19,90,180,0,12.00803,17.64,17.64,58.87,408.93,1,NA,NA,NA,0.05972291,6.08009,2.95823,0.06130084,0.06081548,0.06238519,0.06689121,0.08175922,0.132368,0.147298,0.145636,0.135603,0.126095,0.125235,0.09861311,0.08291144,0.05892051,0.06011781,0.07385019,0.04665368,0.02814355,0.01805193,0.01014566,0.006367603,0.002285046
30,25,Parkfield,1966,628,Cholame - Shandon Array #5,127,1014,6.19,90,180,0,12.00803,9.58,9.58,37.23,289.56,1,NA,NA,NA,0.376778,23.9246,3.85491,0.381719,0.378958,0.385151,0.39537,0.411233,0.47676,0.589801,0.665657,0.814757,0.820189,1.08505,0.95378,0.732639,0.245461,0.181344,0.07339699,0.08275348,0.03777286,0.01954726,0.01340153,0.006487351,0.003026929
31,25,Parkfield,1966,628,Cholame - Shandon Array #8,129,1015,6.19,90,180,0,12.00803,12.9,12.9,49.04,256.82,1,NA,NA,NA,0.264481,11.5519,3.35514,0.270784,0.267343,0.275416,0.289794,0.297963,0.445171,0.459442,0.760469,0.645843,0.412116,0.366249,0.355446,0.295218,0.164769,0.14949,0.06438873,0.04650527,0.0257725,0.01907682,0.01108506,0.005815357,0.002446243
32,25,Parkfield,1966,628,San Luis Obispo,147,1083,6.19,90,180,0,12.00803,63.34,63.34,63.15,712.822,0,NA,NA,NA,0.01227148,0.957598,0.389818,0.0124571,0.01238049,0.01256072,0.01309943,0.0140841,0.0181638,0.02846723,0.0384949,0.03238423,0.02647859,0.02261718,0.02551293,0.02635032,0.01494346,0.008182551,0.006856326,0.00412523,0.003308792,0.002510764,0.001847953,0.000463025,0.000226376
33,25,Parkfield,1966,628,Temblor pre-1969,162,1438,6.19,90,180,0,12.00803,15.96,15.96,-25.39,527.92,1,NA,NA,NA,0.293446,17.454,3.60952,0.297045,0.294094,0.295871,0.296817,0.30948,0.329321,0.384292,0.497432,0.725767,0.778285,0.755671,0.896658,0.393089,0.129532,0.144055,0.0684979,0.0444007,0.02145347,0.01309795,0.00953997,0.004036814,0.001924521
40,28,Borrego Mtn,1968,409,San Onofre - So Cal Edison,90,280,6.63,78,-178,0,12.00333,129.11,129.11,-38.45,442.88,1,NA,NA,NA,0.04301211,3.71997,1.56199,0.04309897,0.04343358,0.0441843,0.04515451,0.04799801,0.0496105,0.05785001,0.07469668,0.112958,0.09623462,0.122099,0.09584724,0.07376736,0.05669148,0.04849813,0.02469915,0.01798763,0.01311938,0.01042112,0.006790444,0.002379698,0.000947846
51,30,San Fernando,1971,209,2516 Via Tejon PV,3,411,6.61,50,83,0,27.40625,55.2,55.2,-99.03,280.56,1,NA,398,NA,0.03238985,3.67123,2.59876,0.03239011,0.03267866,0.03302217,0.03392936,0.03425111,0.03517529,0.05011688,0.08402877,0.08674259,0.08760186,0.07424565,0.06650607,0.06649851,0.04659651,0.04166171,0.02990986,0.01531196,0.01681795,0.02247983,0.01631614,0.003872007,0.001507845
52,30,San Fernando,1971,209,Anza Post Office,67,103,6.61,50,83,0,27.40625,173.16,173.16,-167.17,338.539,0,NA,NA,NA,0.0317565,1.6588,0.281914,0.03213459,0.03179101,0.03309607,0.03432682,0.03233151,0.03581838,0.0465005,0.06679943,0.115172,0.0764326,0.07460966,0.07338229,0.07712647,0.03696964,0.01716416,0.008281514,0.003552452,0.002747825,0.001666075,0.000927179,0.000302447,0.000122606
55,30,San Fernando,1971,209,Buena Vista - Taft,2,1,6.61,50,83,0,27.40625,111.37,112.52,27.73,438.339,0,NA,NA,NA,0.01163256,1.3594,1.10885,0.01165098,0.01172156,0.01188525,0.0122194,0.01231773,0.01430743,0.01588735,0.0315064,0.03165316,0.02837871,0.04631074,0.03348847,0.0187998,0.01434248,0.01159815,0.008328516,0.009076154,0.005671595,0.004181399,0.001824998,0.001920047,0.001367697
